"A" "B" "C" "D" "E" "F" "G" "H" "I" "J" "gpvra" "zvfyb" "aoxmh" "yehmh" "jvcic" "btsxj" "uzeqx" "yskuq" "vtlal" "uaeem" "urajm" "qtfvk" "uktdb" "cahkb" "tximj" "ckrpu" "fougb" "lmmfv" "reerp" "hctpv" "iqnpj" "zfegf" "matgd" "iebld" "djota" "lgvzk" "jelgm" "etzbl" "pufan" "kdbhd" "qusnn" "hapfq" "hvffs" "vdvms" "kgcrf" "rfyjm" "zbbvn" "aubmy" "uedqa" "xppru" "wvuba" "mtosw" "aevfe" "myyye" "gwcxo" "rhvty" "gnywd" "lbglu" "cwzfx" "zyqar" "luwtc" "hozbu" "uuqrl" "vajxn" "fmdso" "mytri" "vqsmg" "xlnud" "ticit" "mtwtj" "pvakm" "ayjih" "jnrvi" "zahna" "bdlhn" "mxqgd" "wqffo" "xfnrd" "degdc" "tmylp" "ehlvl" "clkfi" "lvuhd" "gwxri" "rmszd" "ljnwf" "juivv" "qddnn" "anotf" "ctslf" "srwvc" "owuxk" "nlmjw" "hjqmr" "nnoke" "gaeaz" "simay" "hlqlr" "fyzsw" "puiwz"
"1" 6 8 6 8 7 7 6 7 6 6 7 11 11 7 5 11 3 7 14 3 16 5 18 8 12 10 16 8 16 8 9 14 7 5 15 13 15 11 9 14 3 9 3 5 14 6 20 15 6 17 14 9 13 17 5 7 8 9 17 22 7 12 5 13 17 12 7 16 6 10 13 6 3 6 4 15 10 11 8 19 9 12 14 8 13 9 13 9 8 5 5 12 9 12 7 12 20 7 13 6
"2" 10 9 8 9 7 10 11 10 9 9 2 10 8 7 6 3 2 2 11 8 12 12 14 10 12 18 11 4 13 15 9 19 13 9 24 13 22 12 8 15 10 16 7 11 12 6 16 15 7 15 13 12 9 20 8 4 8 13 21 11 3 19 13 15 13 4 10 12 15 14 14 3 6 8 10 8 8 24 9 13 11 15 10 7 6 10 10 14 15 3 15 9 12 14 7 8 14 9 6 8
"3" 7 6 7 9 8 8 9 5 7 7 2 20 9 4 4 14 4 10 16 3 17 7 15 4 16 6 10 12 11 10 9 11 7 9 15 17 18 8 6 13 4 15 1 6 9 2 12 11 13 14 12 12 14 10 6 2 13 12 14 22 9 5 12 12 15 5 5 14 11 12 19 4 7 7 13 8 19 14 12 16 13 15 9 6 8 9 11 9 17 3 20 11 10 11 8 8 16 5 8 11
"4" 13 13 13 15 16 16 15 16 16 15 5 17 8 7 5 8 6 6 16 4 14 12 9 8 8 11 12 18 12 12 12 19 13 19 13 15 7 15 11 15 10 20 3 2 7 10 16 9 11 11 13 13 14 8 8 8 12 12 12 14 4 15 9 14 16 10 9 19 11 14 10 7 4 6 15 12 12 16 9 14 14 12 12 10 12 14 7 6 10 6 18 20 10 16 8 13 14 5 7 12
"5" 6 6 5 6 5 6 5 5 7 7 8 16 8 18 9 5 7 3 17 7 14 10 10 11 13 21 14 11 11 12 3 9 5 10 10 19 12 6 10 23 7 12 8 9 2 6 11 7 8 12 17 14 8 9 9 3 5 9 14 20 7 21 9 13 14 8 11 18 7 15 18 4 10 9 13 8 9 10 6 13 8 11 17 6 9 14 11 12 15 6 18 20 4 18 4 11 13 5 11 6
"6" 14 13 11 12 14 12 12 12 12 12 14 18 11 4 8 8 2 8 13 2 15 9 16 2 16 17 17 10 14 19 8 17 9 14 12 5 11 6 12 12 13 12 6 8 10 8 22 9 3 13 7 12 15 14 14 8 6 14 11 18 9 20 9 19 16 7 5 17 9 13 20 8 7 2 7 12 16 11 10 13 11 13 19 8 14 8 9 12 16 7 14 22 6 11 11 17 10 14 6 11
"7" 6 9 10 7 8 7 9 7 5 7 10 10 8 9 4 15 3 3 10 3 17 6 16 7 7 17 12 11 7 20 10 16 4 10 18 11 10 7 12 15 6 16 3 6 9 8 12 18 6 15 13 10 12 17 13 2 5 9 12 14 9 27 17 14 18 6 3 14 12 16 13 4 3 8 15 12 7 16 8 10 8 17 13 11 5 7 6 10 19 5 10 21 6 13 4 12 7 4 6 8
"8" 7 9 11 9 6 9 8 10 7 9 10 13 6 7 5 4 13 2 15 4 10 6 15 4 10 13 7 12 19 9 5 17 8 10 16 10 12 13 17 8 8 15 9 11 12 7 9 14 8 17 19 13 11 15 11 5 11 9 9 13 6 20 9 10 24 13 6 19 12 10 16 8 3 10 9 11 12 18 8 13 9 16 11 4 10 11 4 11 15 5 15 8 6 13 4 7 10 6 8 7
"9" 11 11 11 12 10 10 10 11 12 10 8 11 10 8 4 7 12 5 8 4 12 9 18 4 19 14 20 14 18 17 5 14 10 13 12 12 20 10 5 17 8 8 5 8 11 7 15 12 7 11 7 12 12 9 11 6 8 17 6 19 3 15 7 12 9 5 7 6 11 11 19 4 7 10 12 9 8 16 6 12 9 9 10 4 15 8 7 16 6 5 11 18 8 17 4 9 18 7 7 17
"10" 13 11 11 12 12 11 10 11 9 11 10 16 8 6 7 14 2 6 7 2 12 10 15 10 12 13 11 8 10 12 8 11 9 8 17 8 10 13 10 12 8 12 6 5 7 7 17 15 9 22 9 16 9 10 5 3 11 12 13 11 4 21 10 14 26 10 6 16 16 16 19 9 8 14 3 8 13 10 12 15 14 14 15 6 6 10 6 11 7 4 15 19 11 12 11 10 12 9 6 11
